"SCHOOL_NAME","SCHOOL_YEAR","race_df","magnet","traditional","total_race","total_school","pct_race","pct_magnet","pct_traditional","dominant_race","STEM","ARTS","IB","MEDICAL","CAREER_TECH","ENVIRONMENTAL","num_programs","pct_free","pct_nonfree","diversity"
"ARMWOOD HIGH SCHOOL",2021,"Black",110,620,730,2054,0.355404089581305,0.150684931506849,0.849315068493151,"Black",0,0,0,0,0,0,0,0.793103448275862,0.206896551724138,1.31221405046436
"ARMWOOD HIGH SCHOOL",2021,"Hispanic",92,570,662,2054,0.322297955209348,0.138972809667674,0.861027190332326,"Black",0,0,0,0,0,0,0,0.793103448275862,0.206896551724138,1.31221405046436
"ARMWOOD HIGH SCHOOL",2021,"Multiracial",28,77,105,2054,0.0511197663096397,0.266666666666667,0.733333333333333,"Black",0,0,0,0,0,0,0,0.793103448275862,0.206896551724138,1.31221405046436
"ARMWOOD HIGH SCHOOL",2022,"White",131,386,517,2181,0.237047226043099,0.253384912959381,0.746615087040619,"Black",0,0,0,0,0,0,0,1,0,1.29946407256767
"ARMWOOD HIGH SCHOOL",2022,"Asian",18,20,38,2181,0.0174232003668042,0.473684210526316,0.526315789473684,"Black",0,0,0,0,0,0,0,1,0,1.29946407256767
"ARMWOOD HIGH SCHOOL",2022,"Black",115,661,776,2181,0.355800091701055,0.14819587628866,0.85180412371134,"Black",0,0,0,0,0,0,0,1,0,1.29946407256767
"ARMWOOD HIGH SCHOOL",2022,"Hispanic",105,632,737,2181,0.33791838606144,0.14246947082768,0.85753052917232,"Black",0,0,0,0,0,0,0,1,0,1.29946407256767
"ARMWOOD HIGH SCHOOL",2022,"Multiracial",28,85,113,2181,0.051811095827602,0.247787610619469,0.752212389380531,"Black",0,0,0,0,0,0,0,1,0,1.29946407256767
"ARMWOOD HIGH SCHOOL",2023,"White",123,351,474,2111,0.224538133585978,0.259493670886076,0.740506329113924,"Black",0,0,0,0,0,0,0,1,0,1.30037881019821
"ARMWOOD HIGH SCHOOL",2023,"Asian",23,28,51,2111,0.024159166271909,0.450980392156863,0.549019607843137,"Black",0,0,0,0,0,0,0,1,0,1.30037881019821
"ARMWOOD HIGH SCHOOL",2023,"Black",112,665,777,2111,0.368072003789673,0.144144144144144,0.855855855855856,"Black",0,0,0,0,0,0,0,1,0,1.30037881019821
"ARMWOOD HIGH SCHOOL",2023,"Hispanic",97,616,713,2111,0.33775461866414,0.136044880785414,0.863955119214586,"Black",0,0,0,0,0,0,0,1,0,1.30037881019821
"ARMWOOD HIGH SCHOOL",2023,"Multiracial",23,73,96,2111,0.0454760776882994,0.239583333333333,0.760416666666667,"Black",0,0,0,0,0,0,0,1,0,1.30037881019821
"Alonso High School",2024,"White",130,536,666,2767,0.240693892302132,0.195195195195195,0.804804804804805,"Hispanic",0,0,0,0,0,0,0,NA,NA,1.09706787968057
"Alonso High School",2024,"Asian",92,91,183,2767,0.0661366100469823,0.502732240437158,0.497267759562842,"Hispanic",0,0,0,0,0,0,0,NA,NA,1.09706787968057
"Alonso High School",2024,"Black",0,145,145,2767,0.0524033249006144,0,1,"Hispanic",0,0,0,0,0,0,0,NA,NA,1.09706787968057
"Alonso High School",2024,"Hispanic",206,1471,1677,2767,0.606071557643657,0.122838401908169,0.877161598091831,"Hispanic",0,0,0,0,0,0,0,NA,NA,1.09706787968057
"Alonso High School",2024,"Multiracial",22,74,96,2767,0.0346946151066137,0.229166666666667,0.770833333333333,"Hispanic",0,0,0,0,0,0,0,NA,NA,1.09706787968057
"Alonso High School ",2025,"White",139,490,629,2692,0.233655274888559,0.220985691573927,0.779014308426073,"Hispanic",0,0,0,0,0,0,0,NA,NA,1.10743924900238
"Alonso High School ",2025,"Asian",110,75,185,2692,0.0687221396731055,0.594594594594595,0.405405405405405,"Hispanic",0,0,0,0,0,0,0,NA,NA,1.10743924900238
"Alonso High School ",2025,"Black",11,127,138,2692,0.0512630014858841,0.0797101449275362,0.920289855072464,"Hispanic",0,0,0,0,0,0,0,NA,NA,1.10743924900238
"Alonso High School ",2025,"Hispanic",200,1433,1633,2692,0.606612184249628,0.122473974280465,0.877526025719535,"Hispanic",0,0,0,0,0,0,0,NA,NA,1.10743924900238
"Alonso High School ",2025,"Multiracial",32,75,107,2692,0.0397473997028232,0.299065420560748,0.700934579439252,"Hispanic",0,0,0,0,0,0,0,NA,NA,1.10743924900238
"Armwood High School",2024,"White",123,347,470,2288,0.20541958041958,0.261702127659574,0.738297872340426,"Black",0,0,0,0,0,0,0,NA,NA,1.25166994904109
"Armwood High School",2024,"Asian",20,26,46,2288,0.0201048951048951,0.434782608695652,0.565217391304348,"Black",0,0,0,0,0,0,0,NA,NA,1.25166994904109
"Armwood High School",2024,"Black",136,752,888,2288,0.388111888111888,0.153153153153153,0.846846846846847,"Black",0,0,0,0,0,0,0,NA,NA,1.25166994904109
"Armwood High School",2024,"Hispanic",114,694,808,2288,0.353146853146853,0.141089108910891,0.858910891089109,"Black",0,0,0,0,0,0,0,NA,NA,1.25166994904109
"Armwood High School",2024,"Multiracial",18,58,76,2288,0.0332167832167832,0.236842105263158,0.763157894736842,"Black",0,0,0,0,0,0,0,NA,NA,1.25166994904109
"Armwood High School ",2025,"White",103,305,408,2160,0.188888888888889,0.252450980392157,0.747549019607843,"Black",0,0,0,0,0,0,0,NA,NA,1.23506321085385
"Armwood High School ",2025,"Asian",18,20,38,2160,0.0175925925925926,0.473684210526316,0.526315789473684,"Black",0,0,0,0,0,0,0,NA,NA,1.23506321085385
"Armwood High School ",2025,"Black",137,718,855,2160,0.395833333333333,0.160233918128655,0.839766081871345,"Black",0,0,0,0,0,0,0,NA,NA,1.23506321085385
"Armwood High School ",2025,"Hispanic",112,674,786,2160,0.363888888888889,0.142493638676845,0.857506361323155,"Black",0,0,0,0,0,0,0,NA,NA,1.23506321085385
"Armwood High School ",2025,"Multiracial",15,58,73,2160,0.0337962962962963,0.205479452054795,0.794520547945205,"Black",0,0,0,0,0,0,0,NA,NA,1.23506321085385
"B C ACADEMY AT BOWERS-WHITLEY",2023,"White",0,24,24,84,0.285714285714286,0,1,"Hispanic",0,0,0,0,0,0,0,1,0,1.07374987128906
"B C ACADEMY AT BOWERS-WHITLEY",2023,"Asian",0,0,0,84,0,NA,NA,"Hispanic",0,0,0,0,0,0,0,1,0,1.07374987128906
"B C ACADEMY AT BOWERS-WHITLEY",2023,"Black",0,23,23,84,0.273809523809524,0,1,"Hispanic",0,0,0,0,0,0,0,1,0,1.07374987128906
"B C ACADEMY AT BOWERS-WHITLEY",2023,"Hispanic",0,37,37,84,0.44047619047619,0,1,"Hispanic",0,0,0,0,0,0,0,1,0,1.07374987128906
"B C ACADEMY AT BOWERS-WHITLEY",2023,"Multiracial",0,0,0,84,0,NA,NA,"Hispanic",0,0,0,0,0,0,0,1,0,1.07374987128906
"BLAKE HIGH SCHOOL",2020,"White",318,55,373,1533,0.243313763861709,0.85254691689008,0.14745308310992,"Black",0,1,0,0,0,0,1,0.685029163966299,0.314970836033701,1.2894426268162
"BLAKE HIGH SCHOOL",2020,"Asian",17,0,17,1533,0.0110893672537508,1,0,"Black",0,1,0,0,0,0,1,0.685029163966299,0.314970836033701,1.2894426268162
"BLAKE HIGH SCHOOL",2020,"Black",247,369,616,1533,0.401826484018265,0.400974025974026,0.599025974025974,"Black",0,1,0,0,0,0,1,0.685029163966299,0.314970836033701,1.2894426268162
"BLAKE HIGH SCHOOL",2020,"Hispanic",229,203,432,1533,0.281800391389432,0.530092592592593,0.469907407407407,"Black",0,1,0,0,0,0,1,0.685029163966299,0.314970836033701,1.2894426268162
"BLAKE HIGH SCHOOL",2020,"Multiracial",67,28,95,1533,0.0619699934768428,0.705263157894737,0.294736842105263,"Black",0,1,0,0,0,0,1,0.685029163966299,0.314970836033701,1.2894426268162
"BLAKE HIGH SCHOOL",2021,"White",291,56,347,1401,0.24768022840828,0.838616714697406,0.161383285302594,"Black",0,1,0,0,0,0,1,0.62597586941093,0.37402413058907,1.2662626479003
"BLAKE HIGH SCHOOL",2021,"Asian",10,0,10,1401,0.00713775874375446,1,0,"Black",0,1,0,0,0,0,1,0.62597586941093,0.37402413058907,1.2662626479003
